Delegacia;Ano;Natureza;Janeiro;Fevereiro;Marco;Abril;Maio;Junho;Julho;Agosto;Setembro;Outubro;Novembro;Dezembro;Total
035 DP - Jabaquara;2025;HOMICÍDIO DOLOSO (2);0;0;0;0;10;;;;;;;;10
035 DP - Jabaquara;2025;Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3);0;0;0;0;10;;;;;;;;10
035 DP - Jabaquara;2025;HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;;;;;;;;0
035 DP - Jabaquara;2025;Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;;;;;;;;0
035 DP - Jabaquara;2025;HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO;0;20;0;10;0;;;;;;;;30
035 DP - Jabaquara;2025;HOMICÍDIO CULPOSO OUTROS;0;0;0;0;0;;;;;;;;0
035 DP - Jabaquara;2025;TENTATIVA DE HOMICÍDIO;0;0;10;0;0;;;;;;;;10
035 DP - Jabaquara;2025;LESÃO CORPORAL SEGUIDA DE MORTE;0;0;10;0;0;;;;;;;;10
035 DP - Jabaquara;2025;LESÃO CORPORAL DOLOSA;490;550;540;430;380;;;;;;;;2390
035 DP - Jabaquara;2025;LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO;160;220;160;120;180;;;;;;;;840
035 DP - Jabaquara;2025;LESÃO CORPORAL CULPOSA - OUTRAS;10;10;10;0;30;;;;;;;;60
035 DP - Jabaquara;2025;LATROCÍNIO;0;0;0;0;0;;;;;;;;0
035 DP - Jabaquara;2025;Nº DE VÍTIMAS EM LATROCÍNIO;0;0;0;0;0;;;;;;;;0
035 DP - Jabaquara;2025;TOTAL DE ESTUPRO (4);30;30;40;0;20;;;;;;;;120
035 DP - Jabaquara;2025;ESTUPRO;20;0;10;0;10;;;;;;;;40
035 DP - Jabaquara;2025;ESTUPRO DE VULNERÁVEL;10;30;30;0;10;;;;;;;;80
035 DP - Jabaquara;2025;TOTAL DE ROUBO - OUTROS (1);1240;1390;1140;1080;1150;;;;;;;;6000
035 DP - Jabaquara;2025;ROUBO - OUTROS;1240;1380;1130;1050;1150;;;;;;;;5950
035 DP - Jabaquara;2025;ROUBO DE VEÍCULO;180;250;120;120;120;;;;;;;;790
035 DP - Jabaquara;2025;ROUBO A BANCO;0;0;0;0;0;;;;;;;;0
035 DP - Jabaquara;2025;ROUBO DE CARGA;0;10;10;30;0;;;;;;;;50
035 DP - Jabaquara;2025;FURTO - OUTROS;2830;2550;2970;2650;2530;;;;;;;;1353
035 DP - Jabaquara;2025;FURTO DE VEÍCULO;320;310;300;510;450;;;;;;;;1890
035 DP - Jabaquara;2024;HOMICÍDIO DOLOSO (2);0;0;10;10;0;0;0;1;0;2;1;2;80
035 DP - Jabaquara;2024;Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3);0;0;10;10;0;0;0;2;0;2;1;2;90
035 DP - Jabaquara;2024;HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;2;20
035 DP - Jabaquara;2024;Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;2;20
035 DP - Jabaquara;2024;HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;1;1;1;1;1;0;2;70
035 DP - Jabaquara;2024;HOMICÍDIO CULPOSO OUTROS;0;0;0;0;0;0;0;0;0;0;0;0;0
035 DP - Jabaquara;2024;TENTATIVA DE HOMICÍDIO;10;0;0;0;10;2;1;0;1;0;2;1;90
035 DP - Jabaquara;2024;LESÃO CORPORAL SEGUIDA DE MORTE;0;0;0;0;0;0;0;0;0;0;0;0;0
035 DP - Jabaquara;2024;LESÃO CORPORAL DOLOSA;440;290;400;350;280;28;29;32;32;37;45;41;4200
035 DP - Jabaquara;2024;LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO;140;160;110;170;160;19;13;20;24;19;19;14;2020
035 DP - Jabaquara;2024;LESÃO CORPORAL CULPOSA - OUTRAS;0;0;10;10;10;1;1;0;0;0;2;0;70
035 DP - Jabaquara;2024;LATROCÍNIO;0;10;0;0;0;0;0;1;0;0;0;0;20
035 DP - Jabaquara;2024;Nº DE VÍTIMAS EM LATROCÍNIO;0;10;0;0;0;0;0;1;0;0;0;0;20
035 DP - Jabaquara;2024;TOTAL DE ESTUPRO (4);30;0;20;10;20;4;2;2;3;5;2;2;280
035 DP - Jabaquara;2024;ESTUPRO;10;0;0;0;10;0;0;0;1;2;2;0;70
035 DP - Jabaquara;2024;ESTUPRO DE VULNERÁVEL;20;0;20;10;10;4;2;2;2;3;0;2;210
035 DP - Jabaquara;2024;TOTAL DE ROUBO - OUTROS (1);1410;1120;1220;1190;1300;132;129;112;96;102;133;164;1492
035 DP - Jabaquara;2024;ROUBO - OUTROS;1410;1070;1220;1180;1280;132;126;111;96;101;133;163;1478
035 DP - Jabaquara;2024;ROUBO DE VEÍCULO;180;170;230;180;180;25;19;14;20;16;19;24;2310
035 DP - Jabaquara;2024;ROUBO A BANCO;0;0;0;0;0;0;0;0;0;0;0;0;0
035 DP - Jabaquara;2024;ROUBO DE CARGA;0;50;0;10;20;0;3;1;0;1;0;1;140
035 DP - Jabaquara;2024;FURTO - OUTROS;2850;2310;2470;2420;2370;194;187;227;230;277;250;283;289
035 DP - Jabaquara;2024;FURTO DE VEÍCULO;260;220;280;360;400;36;22;40;40;45;37;38;4100
035 DP - Jabaquara;2023;HOMICÍDIO DOLOSO (2);0;0;0;0;0;0;0;0;0;1;0;0;10
035 DP - Jabaquara;2023;Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3);0;0;0;0;0;0;0;0;0;1;0;0;10
035 DP - Jabaquara;2023;HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0
035 DP - Jabaquara;2023;Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0
035 DP - Jabaquara;2023;HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO;0;20;0;10;0;1;1;0;0;0;0;0;50
035 DP - Jabaquara;2023;HOMICÍDIO CULPOSO OUTROS;0;0;0;10;0;0;0;0;0;0;0;0;10
035 DP - Jabaquara;2023;TENTATIVA DE HOMICÍDIO;0;0;0;10;10;2;0;0;0;0;1;0;50
035 DP - Jabaquara;2023;LESÃO CORPORAL SEGUIDA DE MORTE;10;0;0;0;0;0;0;0;0;0;0;0;10
035 DP - Jabaquara;2023;LESÃO CORPORAL DOLOSA;320;260;230;390;320;30;27;37;31;38;36;39;3900
035 DP - Jabaquara;2023;LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO;110;130;120;120;150;18;19;16;18;20;23;16;1930
035 DP - Jabaquara;2023;LESÃO CORPORAL CULPOSA - OUTRAS;30;0;10;10;0;0;2;0;0;1;3;1;120
035 DP - Jabaquara;2023;LATROCÍNIO;0;0;20;10;0;0;0;0;0;1;0;0;40
035 DP - Jabaquara;2023;Nº DE VÍTIMAS EM LATROCÍNIO;0;0;20;10;0;0;0;0;0;1;0;0;40
035 DP - Jabaquara;2023;TOTAL DE ESTUPRO (4);20;30;10;30;50;0;2;1;3;2;2;1;250
035 DP - Jabaquara;2023;ESTUPRO;20;10;0;10;20;0;1;0;0;1;0;0;80
035 DP - Jabaquara;2023;ESTUPRO DE VULNERÁVEL;0;20;10;20;30;0;1;1;3;1;2;1;170
035 DP - Jabaquara;2023;TOTAL DE ROUBO - OUTROS (1);1000;1460;1620;1160;1560;134;149;133;122;154;134;122;1628
035 DP - Jabaquara;2023;ROUBO - OUTROS;970;1450;1580;1160;1550;133;148;132;120;153;133;119;1609
035 DP - Jabaquara;2023;ROUBO DE VEÍCULO;180;210;290;350;220;15;18;26;22;27;21;31;2850
035 DP - Jabaquara;2023;ROUBO A BANCO;0;0;0;0;0;0;0;0;0;0;0;0;0
035 DP - Jabaquara;2023;ROUBO DE CARGA;30;10;40;0;10;1;1;1;2;1;1;3;190
035 DP - Jabaquara;2023;FURTO - OUTROS;2200;2480;2710;2320;2930;230;255;308;305;293;256;245;3156
035 DP - Jabaquara;2023;FURTO DE VEÍCULO;260;240;220;290;230;22;28;31;24;34;34;32;3290
035 DP - Jabaquara;2022;HOMICÍDIO DOLOSO (2);0;0;10;0;0;0;1;1;2;0;0;0;50
035 DP - Jabaquara;2022;Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3);0;0;10;0;0;0;1;1;2;0;0;0;50
035 DP - Jabaquara;2022;HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0
035 DP - Jabaquara;2022;Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO;0;0;0;0;0;0;0;0;0;0;0;0;0
035 DP - Jabaquara;2022;HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO;10;0;0;0;0;0;0;0;1;0;0;1;30
035 DP - Jabaquara;2022;HOMICÍDIO CULPOSO OUTROS;0;0;0;0;0;0;0;0;1;0;0;0;10
035 DP - Jabaquara;2022;TENTATIVA DE HOMICÍDIO;0;0;10;10;0;1;1;3;1;0;0;1;90
035 DP - Jabaquara;2022;LESÃO CORPORAL SEGUIDA DE MORTE;0;0;0;0;0;0;0;0;0;0;0;0;0
035 DP - Jabaquara;2022;LESÃO CORPORAL DOLOSA;350;210;410;400;440;26;42;27;31;45;24;33;4090
035 DP - Jabaquara;2022;LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO;170;130;200;70;170;8;25;12;11;11;10;14;1650
035 DP - Jabaquara;2022;LESÃO CORPORAL CULPOSA - OUTRAS;10;0;10;10;10;0;0;1;2;3;2;1;130
035 DP - Jabaquara;2022;LATROCÍNIO;0;0;0;10;0;0;0;0;0;0;0;1;20
035 DP - Jabaquara;2022;Nº DE VÍTIMAS EM LATROCÍNIO;0;0;0;10;0;0;0;0;0;0;0;1;20
035 DP - Jabaquara;2022;TOTAL DE ESTUPRO (4);40;20;20;30;20;3;2;1;3;2;1;3;280
035 DP - Jabaquara;2022;ESTUPRO;20;0;20;10;0;1;1;1;1;0;0;0;90
035 DP - Jabaquara;2022;ESTUPRO DE VULNERÁVEL;20;20;0;20;20;2;1;0;2;2;1;3;190
