Delegacia;Latitude;Longitude
001 DP - Sé;-23.556609253934113;-46.63440922828586
002 DP - Bom Retiro;-23.52291607265924;-46.64421390141482
003 DP - Campos Elísios;-23.539281874158046;-46.639644759085336
004 DP - Consolação;-23.550425409790414;-46.649778770729775
005 DP - Aclimação;-23.56541296292891;-46.63812144559109
006 DP - Cambuci;-23.565587903674608;-46.62166663640079
007 DP - Lapa;-23.522109963501084;-46.693421228406606
008 DP - Brás;-23.54347081882593;-46.59420109749175
009 DP - Carandiru;-23.494947910933604;-46.61342731076955
010 DP - Penha de França;-23.52386836421205;-46.55300264911271
011 DP - Santo Amaro;-23.638465440072924;-46.71031074509251
012 DP - Pari;-23.529601996417643;-46.612512176276354
013 DP - Casa Verde;-23.500109515026647;-46.64920097442857
014 DP - Pinheiros;-23.56163296794596;-46.691269177749206
015 DP - Itaim Bibi;-23.58169665622834;-46.67450410023749
016 DP - Vila Clementino;-23.601475219639603;-46.63781854743895
017 DP - Ipiranga;-23.59047109401517;-46.608803105109935
018 DP - Alto da Moóca;-23.57014187036064;-46.59127865353843
019 DP - Vila Maria;-23.51760255783228;-46.58507677974082
020 DP - Água Fria;-23.47791884443988;-46.620774187922606
021 DP - Vila Matilde;-23.53002084962464;-46.52257212965976
022 DP - São Miguel Paulista;-23.49611993271369;-46.44074823450119
023 DP - Perdizes;-23.53678117307452;-46.66545024744062
024 DP - Ponte Rasa;-23.50969508147266;-46.498667533947945
025 DP - Parelheiros;-23.80775816610467;-46.73482017145724
026 DP - Sacomã;-23.621667662308436;-46.60163478787062
027 DP - Campo Belo;-23.615097462519618;-46.674746140043496
028 DP - Freguesia do Ó;-23.494495233499357;-46.69779713394854
029 DP - Vila Diva;-23.57350990955936;-46.55761038791994
030 DP - Tatuapé;-23.54978257938295;-46.56770367442724
031 DP - Vila Carrão;-23.54893924299456;-46.53707732840078
032 DP - Itaquera;-23.53425966026241;-46.451176257789335
033 DP - Pirituba;-23.49708249488808;-46.74546320751412
034 DP - Vila Sonia;-23.587850833405263;-46.7268908474392
035 DP - Jabaquara;-23.639271279164763;-46.64291810935877
036 DP - Vila Mariana;-23.578836784805443;-46.65090938976838
037 DP - Campo Limpo;-23.632632007354683;-46.76987867497742
038 DP - Vila Amália;-23.469443353659987;-46.64798399587024
039 DP - Vila Gustavo;-23.483167113216112;-46.58993618977105
040 DP - Vila Santa Maria;-23.494263321184537;-46.67766889771806
041 DP - Vila Rica;-23.578434757650832;-46.51739847026581
042 DP - Parque São Lucas;-23.5895155913338;-46.553182687919424
043 DP - Cidade Ademar;-23.648703919714805;-46.67084852128391
044 DP - Guaianazes;-23.54252120595091;-46.41845138052606
045 DP - Vila Brasilândia;-23.468991148473403;-46.6898295879228
046 DP - Perus;-23.4042233487772;-46.738071389773296
047 DP - Capão Redondo;-23.664364752187243;-46.78291861675287
048 DP - Cidade Dutra;-23.71202335552399;-46.695562470725214
049 DP - São Mateus;-23.6056411572634;-46.47058147257687
050 DP - Itaim Paulista;-23.50494528383244;-46.39681567442856
051 DP - Butantã;-23.57161297267311;-46.72261478976862
052 DP - Parque São Jorge;-23.47724843190066;-46.426037966084
053 DP - Parque do Carmo;-23.566622096849656;-46.46584059401874
054 DP - Cidade Tiradentes;-23.60496714961079;-46.40057943080063
055 DP - Parque São Rafael;-23.62344463263024;-46.46983617867522
056 DP - Vila Alpina;-23.593637499120973;-46.56680008052466
